comment_id	label	confidence
54745	NO	[0.7, 0.0, 0.2, 0.1]
5595	NO	[0.9, 0.0, 0.1, 0.0]
53477	NO	[0.7, 0.0, 0.3, 0.0]
7385	NO	[0.7, 0.1, 0.2, 0.0]
551	OFP	[0.0, 0.2, 0.7, 0.1]
41578	OFP	[0.1, 0.4, 0.5, 0.0]
26154	NO	[1.0, 0.0, 0.0, 0.0]
42325	NO	[0.9, 0.0, 0.1, 0.0]
56393	NO	[0.9, 0.0, 0.1, 0.0]
35553	OFP	[0.3, 0.0, 0.7, 0.0]
21996	NO	[1.0, 0.0, 0.0, 0.0]
58028	NO	[1.0, 0.0, 0.0, 0.0]
55794	NO	[0.8, 0.1, 0.1, 0.0]
8253	NO	[1.0, 0.0, 0.0, 0.0]
16096	NO	[0.8, 0.1, 0.1, 0.0]
52772	NO	[1.0, 0.0, 0.0, 0.0]
35265	OFP	[0.2, 0.0, 0.8, 0.0]
42548	NO	[0.9, 0.0, 0.1, 0.0]
6028	NO	[1.0, 0.0, 0.0, 0.0]
44803	NO	[1.0, 0.0, 0.0, 0.0]
56979	OFP	[0.0, 0.3, 0.7, 0.0]
50036	NOM	[0.5, 0.5, 0.0, 0.0]
24068	NO	[0.8, 0.1, 0.0, 0.1]
33971	NOM	[0.3, 0.6, 0.1, 0.0]
1417	NO	[0.8, 0.0, 0.0, 0.2]
55686	NO	[0.9, 0.1, 0.0, 0.0]
53541	NO	[1.0, 0.0, 0.0, 0.0]
43206	NO	[0.8, 0.0, 0.2, 0.0]
21750	OFP	[0.1, 0.0, 0.9, 0.0]
30362	OFP	[0.5, 0.0, 0.5, 0.0]
47767	OFP	[0.0, 0.0, 1.0, 0.0]
12883	NOM	[0.1, 0.6, 0.1, 0.2]
56349	NO	[0.8, 0.1, 0.1, 0.0]
5138	OFP	[0.0, 0.2, 0.8, 0.0]
31250	NO	[1.0, 0.0, 0.0, 0.0]
11575	NO	[0.8, 0.2, 0.0, 0.0]
15820	OFP	[0.0, 0.1, 0.9, 0.0]
27580	NO	[0.6, 0.0, 0.4, 0.0]
48594	NOM	[0.1, 0.8, 0.1, 0.0]
14485	OFP	[0.1, 0.1, 0.8, 0.0]
22914	NO	[0.6, 0.0, 0.2, 0.2]
53537	OFG	[0.0, 0.2, 0.2, 0.6]
39543	NO	[1.0, 0.0, 0.0, 0.0]
1126	NOM	[0.0, 0.6, 0.4, 0.0]
8476	OFP	[0.4, 0.1, 0.5, 0.0]
11299	NO	[0.6, 0.0, 0.4, 0.0]
39533	OFP	[0.4, 0.0, 0.6, 0.0]
56616	NO	[1.0, 0.0, 0.0, 0.0]
28322	OFP	[0.1, 0.1, 0.8, 0.0]
42291	OFP	[0.1, 0.0, 0.9, 0.0]
47838	NO	[1.0, 0.0, 0.0, 0.0]
24622	NO	[0.8, 0.0, 0.2, 0.0]
27853	NO	[1.0, 0.0, 0.0, 0.0]
25545	NO	[0.7, 0.1, 0.2, 0.0]
27325	NO	[1.0, 0.0, 0.0, 0.0]
323	NO	[0.6, 0.0, 0.4, 0.0]
33024	NO	[0.9, 0.1, 0.0, 0.0]
57061	OFG	[0.2, 0.1, 0.1, 0.6]
40666	NO	[0.5, 0.2, 0.2, 0.1]
8063	NO	[0.5, 0.5, 0.0, 0.0]
52586	NO	[1.0, 0.0, 0.0, 0.0]
20178	NO	[1.0, 0.0, 0.0, 0.0]
13994	NOM	[0.2, 0.7, 0.0, 0.1]
53657	NO	[0.8, 0.0, 0.2, 0.0]
55581	NO	[1.0, 0.0, 0.0, 0.0]
13972	OFP	[0.1, 0.0, 0.9, 0.0]
44049	OFP	[0.2, 0.1, 0.7, 0.0]
48420	OFG	[0.1, 0.2, 0.1, 0.6]
24823	NO	[0.9, 0.0, 0.0, 0.1]
22105	NOM	[0.1, 0.9, 0.0, 0.0]
28026	OFP	[0.1, 0.4, 0.5, 0.0]
7133	NO	[1.0, 0.0, 0.0, 0.0]
51320	NO	[1.0, 0.0, 0.0, 0.0]
35806	NO	[0.8, 0.2, 0.0, 0.0]
22829	NOM	[0.1, 0.9, 0.0, 0.0]
34810	NO	[1.0, 0.0, 0.0, 0.0]
33726	NO	[0.7, 0.0, 0.3, 0.0]
44099	NO	[0.9, 0.0, 0.1, 0.0]
4363	NO	[0.6, 0.0, 0.4, 0.0]
12415	NO	[1.0, 0.0, 0.0, 0.0]
18109	OFP	[0.1, 0.1, 0.8, 0.0]
4924	NO	[1.0, 0.0, 0.0, 0.0]
13912	NOM	[0.1, 0.7, 0.2, 0.0]
34154	NO	[0.9, 0.0, 0.0, 0.1]
22052	NO	[1.0, 0.0, 0.0, 0.0]
54770	NO	[1.0, 0.0, 0.0, 0.0]
4969	OFP	[0.3, 0.1, 0.6, 0.0]
10251	NO	[1.0, 0.0, 0.0, 0.0]
13294	OFP	[0.1, 0.0, 0.9, 0.0]
32361	NO	[1.0, 0.0, 0.0, 0.0]
7306	NO	[0.9, 0.1, 0.0, 0.0]
2780	NO	[0.7, 0.2, 0.1, 0.0]
29804	NO	[0.8, 0.2, 0.0, 0.0]
17785	NOM	[0.1, 0.9, 0.0, 0.0]
13857	NO	[0.8, 0.0, 0.2, 0.0]
10790	NO	[1.0, 0.0, 0.0, 0.0]
46178	NO	[0.7, 0.3, 0.0, 0.0]
5789	OFP	[0.2, 0.3, 0.5, 0.0]
57599	NO	[1.0, 0.0, 0.0, 0.0]
58401	NO	[1.0, 0.0, 0.0, 0.0]
8308	NO	[0.6, 0.3, 0.0, 0.1]
33643	NOM	[0.3, 0.5, 0.2, 0.0]
27668	NO	[1.0, 0.0, 0.0, 0.0]
41033	NO	[0.9, 0.1, 0.0, 0.0]
31323	NO	[1.0, 0.0, 0.0, 0.0]
10087	NO	[1.0, 0.0, 0.0, 0.0]
46511	NO	[1.0, 0.0, 0.0, 0.0]
22071	NO	[1.0, 0.0, 0.0, 0.0]
12628	NO	[0.9, 0.1, 0.0, 0.0]
13774	NO	[1.0, 0.0, 0.0, 0.0]
30826	NO	[1.0, 0.0, 0.0, 0.0]
45950	NO	[1.0, 0.0, 0.0, 0.0]
13405	NO	[0.8, 0.1, 0.1, 0.0]
30640	NO	[0.8, 0.0, 0.2, 0.0]
4330	NO	[1.0, 0.0, 0.0, 0.0]
24210	NO	[1.0, 0.0, 0.0, 0.0]
31035	NO	[0.7, 0.1, 0.2, 0.0]
2984	NO	[1.0, 0.0, 0.0, 0.0]
7759	NO	[0.8, 0.1, 0.1, 0.0]
2970	NO	[0.8, 0.0, 0.2, 0.0]
3863	NO	[1.0, 0.0, 0.0, 0.0]
46477	NO	[0.5, 0.4, 0.0, 0.1]
59008	OFP	[0.0, 0.4, 0.6, 0.0]
31784	NOM	[0.1, 0.8, 0.1, 0.0]
6210	NO	[1.0, 0.0, 0.0, 0.0]
2238	NO	[1.0, 0.0, 0.0, 0.0]
11153	NOM	[0.1, 0.9, 0.0, 0.0]
44817	NOM	[0.1, 0.8, 0.0, 0.1]
7517	NO	[0.8, 0.0, 0.2, 0.0]
50202	NO	[1.0, 0.0, 0.0, 0.0]
10069	NO	[0.5, 0.2, 0.3, 0.0]
51851	NO	[1.0, 0.0, 0.0, 0.0]
21222	NO	[0.8, 0.1, 0.0, 0.1]
43664	NO	[0.9, 0.0, 0.1, 0.0]
3851	NOM	[0.2, 0.8, 0.0, 0.0]
17683	NO	[0.8, 0.0, 0.2, 0.0]
140	OFP	[0.2, 0.3, 0.5, 0.0]
44077	OFP	[0.1, 0.0, 0.9, 0.0]
8971	NO	[0.9, 0.0, 0.1, 0.0]
5894	OFG	[0.0, 0.1, 0.4, 0.5]
39135	NOM	[0.2, 0.8, 0.0, 0.0]
234	NO	[0.7, 0.1, 0.2, 0.0]
